Team,HR,R,RBI,IBB,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,Pitches,BB%,K%,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,wOBA,wRAA,wRC,Pos,RAR,wRC+,Clutch,O-Swing%,Z-Swing%,Swing%,Age Rng,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,BsR
Reds,3556,14148,13489,867,1187,792,1319,2242,1999,773,0.256,30328,24893,14376,386976,8.60%,19.50%,0.326,0.415,0.742,0.16,0.295,20.70%,43.60%,35.80%,9.90%,11.90%,0.323,-261.5,14188,713.7,3747.5,93,-16.35,26.70%,68.00%,46.30%,20 - 41,40.00%,33.30%,26.60%,17.50%,54.70%,27.80%,60.50%,86.00%,78.30%,47.60%,50.70%,73.8
Cubs,3448,14021,13351,836,1089,757,1240,2360,1430,670,0.257,30973,25017,14397,384816,8.50%,19.30%,0.326,0.416,0.742,0.16,0.296,20.50%,44.00%,35.50%,9.60%,11.50%,0.323,-248.4,14130,732.9,3821.4,93,-52.59,27.40%,68.00%,46.90%,20 - 42,41.00%,32.90%,26.10%,17.20%,54.60%,28.20%,59.90%,86.30%,78.20%,47.90%,50.50%,-62.1
Twins,2853,14309,13534,675,943,905,651,2558,1865,793,0.264,33422,24732,14603,389028,8.30%,17.70%,0.329,0.409,0.738,0.145,0.302,20.10%,45.90%,34.00%,10.10%,10.00%,0.322,-246.5,14126,-307.8,3138,95,4.13,26.70%,65.10%,45.10%,20 - 46,40.20%,33.20%,26.70%,16.50%,56.20%,27.30%,64.30%,87.90%,80.60%,48.00%,49.90%,29.8
Giants,2930,13941,13240,1118,933,907,1274,2534,1502,678,0.261,32818,25549,14568,374429,8.50%,17.10%,0.329,0.409,0.738,0.148,0.297,20.00%,45.00%,35.00%,10.50%,8.90%,0.321,-413.5,13986,734.3,4319.2,97,8.36,27.70%,68.50%,47.10%,19 - 45,40.10%,34.40%,25.60%,17.20%,56.00%,26.80%,64.20%,87.70%,80.50%,47.70%,50.30%,-81.9
Dodgers,3086,13867,13193,888,1078,808,1207,2454,1930,799,0.259,32209,24310,14863,385848,8.70%,17.90%,0.329,0.406,0.735,0.147,0.296,20.80%,45.10%,34.10%,9.80%,10.20%,0.321,-477.5,13878,707.4,4128.4,97,-28.13,26.00%,66.00%,45.40%,19 - 45,39.00%,34.00%,27.10%,17.20%,55.70%,27.20%,63.10%,87.80%,80.50%,48.40%,49.70%,-14.8
Devil Rays,3212,13843,13201,555,1151,877,627,2283,2273,886,0.256,30669,25771,13811,384208,8.50%,19.30%,0.324,0.408,0.733,0.153,0.296,19.70%,43.70%,36.70%,10.90%,10.80%,0.32,-423.4,13863,-309.2,3617.1,97,-33.15,26.30%,67.70%,46.20%,19 - 41,42.60%,32.50%,25.00%,16.60%,55.40%,27.90%,61.10%,85.60%,78.40%,48.00%,50.50%,114.3
Mariners,3144,13935,13239,724,988,850,738,2345,2021,758,0.26,32564,25464,14339,382667,8.10%,18.10%,0.324,0.405,0.729,0.145,0.296,19.80%,45.00%,35.20%,10.60%,9.90%,0.318,-592.2,13758,-308.3,3641.4,98,-0.53,26.80%,66.90%,46.10%,19 - 44,40.10%,33.00%,26.90%,17.20%,55.50%,27.20%,62.60%,87.40%,79.90%,48.10%,49.40%,-25.7
Royals,2642,14022,13239,544,1075,907,788,2647,2090,773,0.267,33604,25423,15092,376989,7.10%,16.40%,0.324,0.404,0.729,0.138,0.302,20.40%,45.30%,34.30%,10.40%,8.60%,0.318,-635.7,13644,-300.3,2478.4,91,12.42,28.40%,67.10%,47.10%,20 - 42,39.50%,33.40%,27.10%,17.40%,55.90%,26.70%,65.90%,88.50%,81.50%,48.20%,50.40%,-14.9
Mets,3122,13739,13087,954,1028,833,1213,2372,2035,717,0.255,30966,25507,14644,388091,8.70%,18.20%,0.326,0.404,0.729,0.149,0.292,20.60%,43.50%,35.90%,10.30%,10.20%,0.318,-709.1,13658,694.8,3749.8,95,-25,25.90%,65.90%,45.20%,20 - 48,40.10%,33.50%,26.40%,17.70%,54.60%,27.70%,63.90%,87.40%,80.40%,48.30%,49.80%,68.2
Expos,3086,13503,12844,913,1023,803,1342,2413,1789,772,0.256,32101,23959,13930,384744,8.40%,18.90%,0.323,0.406,0.729,0.15,0.295,19.90%,45.90%,34.20%,10.00%,10.90%,0.318,-767.6,13499,696.4,2881.4,91,-13.59,27.10%,65.50%,45.40%,19 - 43,39.40%,34.00%,26.60%,17.40%,55.00%,27.60%,62.30%,86.80%,79.10%,47.60%,50.40%,-36.5
Marlins,2923,13492,12791,855,1136,817,1219,2337,1992,795,0.259,31956,23753,14309,385900,8.10%,19.50%,0.325,0.404,0.728,0.145,0.303,20.40%,45.60%,33.90%,10.70%,10.40%,0.318,-754.3,13561,690.1,3436.8,93,-21.31,27.00%,65.30%,45.50%,20 - 43,39.40%,33.60%,26.90%,18.20%,54.20%,27.60%,61.00%,86.80%,78.90%,48.30%,50.10%,47.6
Pirates,2881,13294,12680,771,1351,789,1203,2319,1644,784,0.255,31668,24430,14228,384738,8.00%,19.20%,0.322,0.398,0.72,0.144,0.297,20.20%,45.00%,34.70%,9.80%,9.70%,0.315,-1057.9,13221,695.2,2682.5,90,-22.17,27.20%,66.30%,46.10%,21 - 41,40.70%,33.60%,25.70%,17.50%,55.60%,26.90%,62.50%,86.60%,79.30%,48.30%,50.60%,-52.1
Padres,2801,13041,12372,739,924,831,1036,2274,2020,749,0.248,30987,24405,14068,383066,8.80%,19.80%,0.319,0.387,0.706,0.139,0.293,20.30%,44.60%,35.10%,9.90%,9.50%,0.309,-1536,12738,675.2,3298.5,92,-11.27,26.20%,66.90%,45.70%,20 - 46,40.20%,33.60%,26.20%,17.40%,55.20%,27.50%,59.70%,86.50%,78.50%,48.10%,50.20%,79.4
